year,weight,gender,race1R,hispanic,ethnic1R,age,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2010,3524.20648,1,1,1,4,5,2,2,5,2,1,4,1,1,1,1,2,1,0,0,2,1
2010,3418.17506,1,1,2,1,7,2,7,2,2,1,3,1,2,0,1,4,2,0,0,2,4
2010,4958.70794,2,1,2,1,1,1,5,0,2,2,3,2,2,0,1,4,2,0,0,2,4
2010,4958.70794,2,1,2,1,1,1,5,0,2,2,3,2,2,0,1,4,2,0,0,2,4
2010,4958.70794,2,1,2,1,1,1,5,0,2,2,3,2,2,0,1,4,2,0,0,2,4
2010,3724.98817,1,1,1,4,5,4,7,1,3,2,4,1,1,1,1,2,1,0,0,2,3
2010,3518.28902,2,1,2,1,7,2,88,2,2,1,3,2,2,0,1,4,2,1,1,2,5
2010,5004.05324,1,1,2,1,5,1,1,2,2,1,4,1,2,0,1,4,2,1,2,1,3
2010,3583.33519,2,2,2,2,6,4,2,1,3,1,3,1,2,0,1,4,2,0,0,2,1
2010,3460.67754,1,1,2,1,7,5,1,2,3,1,4,1,2,0,1,4,2,0,0,2,1
2010,2930.09906,2,1,2,1,7,3,88,0,3,2,2,2,2,0,1,2,1,0,0,2,1
2010,3487.5365,1,1,1,4,5,1,4,1,3,2,4,1,2,0,1,4,2,0,0,2,1
2010,3098.29765,2,2,2,2,6,2,5,0,3,2,2,1,2,0,1,4,2,1,2,2,1
2010,3098.29765,2,2,2,2,6,2,5,0,3,2,2,1,2,0,1,2,1,0,0,2,1
2010,4265.1736,1,1,1,4,2,1,6,1,3,2,5,1,2,0,1,2,1,0,0,2,2
2010,4544.49155,1,1,2,1,5,1,5,2,3,1,4,1,2,0,1,4,2,0,0,2,5
2010,3721.20972,1,1,2,1,5,1,6,1,3,1,4,1,2,0,1,4,2,0,0,2,3
2010,3315.68172,2,1,2,1,7,1,3,5,1,1,4,1,1,1,1,3,1,0,0,2,3
2010,5334.46108,2,1,2,1,4,1,3,5,1,1,4,1,1,1,1,3,1,0,0,2,3
2010,4604.10703,2,2,2,2,6,1,88,1,3,2,1,1,2,0,1,4,2,0,0,2,1
2010,5408.73726,2,1,2,1,4,1,5,1,1,2,4,2,2,0,1,1,1,0,0,2,3
2010,4257.08127,2,3,2,3,5,4,3,4,3,1,1,2,2,0,1,4,2,0,0,2,1
2010,5870.08425,1,1,2,1,4,1,6,5,1,1,4,1,1,2,1,3,1,1,1,2,3
2010,3094.34362,1,1,2,1,7,4,7,2,3,1,4,2,3,5,1,4,2,0,0,2,3
2010,3094.34362,1,1,2,1,7,4,7,2,3,1,3,2,1,4,1,3,1,0,0,2,5
2010,3286.24482,2,1,2,1,7,4,7,1,4,2,3,3,2,0,1,3,1,1,2,1,5
2010,4233.29759,1,1,2,1,1,1,7,0,4,2,3,2,2,0,1,4,2,0,0,2,4
2010,4233.29759,1,1,2,1,1,1,7,0,4,2,3,2,2,0,1,4,2,0,0,2,4
2010,3715.59907,1,1,2,1,5,1,5,1,4,2,4,2,2,0,1,4,2,0,0,2,5
2010,3328.89868,1,1,2,1,6,4,88,1,4,3,4,1,2,0,1,4,2,0,0,2,2
2010,6501.90974,1,1,2,1,4,1,5,5,4,1,4,2,1,3,1,3,1,1,1,2,3
2010,3628.67141,1,1,2,1,7,2,7,0,4,2,4,2,2,0,1,4,2,0,0,2,3
2010,3443.24877,2,1,2,1,7,4,6,1,4,2,2,1,2,0,1,4,2,0,0,2,2
2010,4420.72127,1,1,2,1,5,4,6,1,4,2,1,1,2,0,1,4,2,1,2,2,1
2010,4172.89402,2,2,2,2,1,1,3,4,2,1,4,2,1,1,1,3,1,0,0,2,3
2010,3240.88138,2,1,2,1,6,2,7,4,4,1,4,1,2,0,2,5,3,0,0,2,3
2010,6192.05559,2,1,2,1,4,1,2,0,2,2,4,1,2,0,2,5,3,0,0,2,3
2010,4665.20836,1,1,2,1,5,1,1,3,2,1,3,1,2,0,1,4,2,1,1,2,1
2010,4387.33401,2,2,2,2,8,3,88,4,2,1,2,1,2,0,1,4,2,0,0,2,1
2010,3861.41679,2,3,2,3,6,2,6,0,2,2,6,1,1,1,1,3,1,0,0,2,1
2010,2883.75044,1,2,2,2,6,2,3,0,3,2,5,2,2,0,1,4,2,0,0,2,3
2010,2883.75044,1,2,2,2,6,2,3,0,3,2,4,2,2,0,1,4,2,0,0,2,1
2010,2644.79793,1,2,2,2,7,1,1,4,2,1,4,2,1,1,1,2,1,0,0,2,1
2010,3992.84262,1,1,2,1,6,2,88,0,2,3,4,1,2,0,1,4,2,0,0,2,5
